人物,关联人物,共同出现次数
郭靖,黄蓉,1727
郭靖,洪七公,632
郭靖,周伯通,475
郭靖,黄药师,456
郭靖,梅超风,304
郭靖,拖雷,246
郭靖,裘千仞,235
郭靖,华筝,227
郭靖,欧阳克,200
郭靖,柯镇恶,191
黄蓉,郭靖,1727
黄蓉,洪七公,615
黄蓉,欧阳克,305
黄蓉,黄药师,276
黄蓉,周伯通,198
黄蓉,裘千仞,180
黄蓉,穆念慈,170
黄蓉,杨康,163
黄蓉,瑛姑,139
黄蓉,梅超风,128
洪七公,郭靖,632
洪七公,黄蓉,615
洪七公,黄药师,213
洪七公,欧阳克,192
洪七公,周伯通,162
洪七公,梁子翁,39
洪七公,杨康,24
洪七公,穆念慈,21
洪七公,裘千仞,20
洪七公,黎生,20
黄药师,郭靖,456
黄药师,黄蓉,276
黄药师,洪七公,213
黄药师,周伯通,189
黄药师,梅超风,106
黄药师,柯镇恶,87
黄药师,欧阳克,73
黄药师,尹志平,61
黄药师,陆冠英,60
黄药师,裘千仞,52
周伯通,郭靖,475
周伯通,黄蓉,198
周伯通,黄药师,189
周伯通,洪七公,162
周伯通,裘千仞,106
周伯通,灵智上人,40
周伯通,瑛姑,38
周伯通,梅超风,32
周伯通,完颜洪烈,24
周伯通,彭连虎,14
欧阳克,黄蓉,305
欧阳克,郭靖,200
欧阳克,洪七公,192
欧阳克,黄药师,73
欧阳克,杨康,71
欧阳克,穆念慈,61
欧阳克,梅超风,60
欧阳克,程瑶迦,39
欧阳克,彭连虎,37
欧阳克,陆冠英,35
梅超风,郭靖,304
梅超风,黄蓉,128
梅超风,黄药师,106
梅超风,朱聪,92
梅超风,韩宝驹,79
梅超风,柯镇恶,70
梅超风,欧阳克,60
梅超风,韩小莹,56
梅超风,全金发,39
梅超风,梁子翁,39
柯镇恶,郭靖,191
柯镇恶,朱聪,123
柯镇恶,黄蓉,105
柯镇恶,黄药师,87
柯镇恶,韩小莹,85
柯镇恶,梅超风,70
柯镇恶,全金发,65
柯镇恶,韩宝驹,53
柯镇恶,彭连虎,45
柯镇恶,江南七怪,39
杨康,郭靖,182
杨康,黄蓉,163
杨康,穆念慈,156
杨康,完颜洪烈,122
杨康,欧阳克,71
杨康,黄药师,42
杨康,鲁有脚,38
杨康,裘千仞,36
杨康,拖雷,31
杨康,简长老,31
朱聪,郭靖,178
朱聪,柯镇恶,123
朱聪,梅超风,92
朱聪,韩小莹,87
朱聪,全金发,77
朱聪,韩宝驹,69
朱聪,黄蓉,47
朱聪,南希仁,44
朱聪,彭连虎,35
朱聪,拖雷,34
完颜洪烈,郭靖,161
完颜洪烈,杨康,122
完颜洪烈,黄蓉,86
完颜洪烈,铁木真,71
完颜洪烈,彭连虎,47
完颜洪烈,沙通天,45
完颜洪烈,梁子翁,36
完颜洪烈,包惜弱,31
完颜洪烈,札木合,31
完颜洪烈,桑昆,26
裘千仞,郭靖,235
裘千仞,黄蓉,180
裘千仞,周伯通,106
裘千仞,黄药师,52
裘千仞,瑛姑,50
裘千仞,鲁有脚,42
裘千仞,杨康,36
裘千仞,简长老,27
裘千仞,陆冠英,24
裘千仞,梅超风,23
铁木真,王罕,187
铁木真,桑昆,171
铁木真,札木合,158
铁木真,郭靖,139
铁木真,都史,91
铁木真,完颜洪烈,71
铁木真,拖雷,70
铁木真,完颜洪熙,47
铁木真,华筝,38
铁木真,窝阔台,28
穆念慈,黄蓉,170
穆念慈,杨康,156
穆念慈,郭靖,100
穆念慈,欧阳克,61
穆念慈,王处一,35
穆念慈,杨铁心,32
穆念慈,完颜洪烈,21
穆念慈,洪七公,21
穆念慈,梅超风,17
穆念慈,程瑶迦,12
彭连虎,沙通天,98
彭连虎,黄蓉,96
彭连虎,侯通海,88
彭连虎,梁子翁,78
彭连虎,郭靖,69
彭连虎,完颜洪烈,47
彭连虎,柯镇恶,45
彭连虎,灵智上人,38
彭连虎,欧阳克,37
彭连虎,梅超风,36
杨铁心,包惜弱,120
杨铁心,郭啸天,82
杨铁心,郭靖,33
杨铁心,穆念慈,32
杨铁心,段天德,28
杨铁心,杨康,19
杨铁心,李萍,15
杨铁心,完颜洪烈,14
杨铁心,曲三,12
杨铁心,梁子翁,11
陆冠英,程瑶迦,173
陆冠英,尹志平,116
陆冠英,郭靖,83
陆冠英,黄蓉,77
陆冠英,黄药师,60
陆冠英,侯通海,56
陆冠英,欧阳克,35
陆冠英,裘千仞,24
陆冠英,陆乘风,22
陆冠英,梅超风,14
拖雷,郭靖,246
拖雷,华筝,84
拖雷,都史,79
拖雷,窝阔台,72
拖雷,铁木真,70
拖雷,黄蓉,36
拖雷,朱聪,34
拖雷,杨康,31
拖雷,察合台,23
拖雷,博尔忽,22
王处一,郭靖,121
王处一,黄药师,41
王处一,穆念慈,35
王处一,沙通天,32
王处一,灵智上人,24
王处一,黄蓉,24
王处一,郝大通,21
王处一,彭连虎,19
王处一,梁子翁,17
王处一,孙不二,15
梁子翁,郭靖,153
梁子翁,彭连虎,78
梁子翁,黄蓉,63
梁子翁,沙通天,52
梁子翁,梅超风,39
梁子翁,洪七公,39
梁子翁,完颜洪烈,36
梁子翁,灵智上人,29
梁子翁,欧阳克,26
梁子翁,侯通海,21
韩小莹,郭靖,110
韩小莹,朱聪,87
韩小莹,柯镇恶,85
韩小莹,韩宝驹,70
韩小莹,全金发,62
韩小莹,张阿生,57
韩小莹,梅超风,56
韩小莹,南希仁,47
韩小莹,陈玄风,37
韩小莹,江南七怪,18
华筝,郭靖,227
华筝,拖雷,84
华筝,黄蓉,39
华筝,铁木真,38
华筝,梅超风,25
华筝,都史,23
华筝,黄药师,18
华筝,王罕,16
华筝,杨康,15
华筝,朱聪,12
韩宝驹,郭靖,91
韩宝驹,梅超风,79
韩宝驹,韩小莹,70
韩宝驹,朱聪,69
韩宝驹,全金发,55
韩宝驹,柯镇恶,53
韩宝驹,南希仁,50
韩宝驹,黄蓉,26
韩宝驹,张阿生,25
韩宝驹,黄药师,24
包惜弱,杨铁心,120
包惜弱,完颜洪烈,31
包惜弱,郭啸天,18
包惜弱,段天德,14
包惜弱,杨康,10
包惜弱,穆念慈,10
包惜弱,李萍,6
包惜弱,郭靖,5
包惜弱,朱聪,4
包惜弱,彭连虎,4
沙通天,彭连虎,98
沙通天,黄蓉,82
沙通天,侯通海,78
沙通天,郭靖,64
沙通天,梁子翁,52
沙通天,完颜洪烈,45
沙通天,灵智上人,33
沙通天,王处一,32
沙通天,欧阳克,31
沙通天,梅超风,29
侯通海,黄蓉,99
侯通海,彭连虎,88
侯通海,沙通天,78
侯通海,郭靖,57
侯通海,陆冠英,56
侯通海,程瑶迦,44
侯通海,尹志平,34
侯通海,梅超风,27
侯通海,梁子翁,21
侯通海,灵智上人,18
全金发,朱聪,77
全金发,柯镇恶,65
全金发,郭靖,63
全金发,韩小莹,62
全金发,韩宝驹,55
全金发,南希仁,41
全金发,梅超风,39
全金发,张阿生,25
全金发,彭连虎,17
全金发,黄蓉,14
程瑶迦,陆冠英,173
程瑶迦,尹志平,76
程瑶迦,侯通海,44
程瑶迦,欧阳克,39
程瑶迦,黄药师,36
程瑶迦,黄蓉,27
程瑶迦,郭靖,21
程瑶迦,穆念慈,12
程瑶迦,彭连虎,9
程瑶迦,杨康,9
瑛姑,黄蓉,139
瑛姑,郭靖,125
瑛姑,裘千仞,50
瑛姑,周伯通,38
瑛姑,一灯大师,26
瑛姑,农夫,23
瑛姑,渔人,15
瑛姑,洪七公,9
瑛姑,樵子,6
瑛姑,黄药师,4
鲁有脚,郭靖,102
鲁有脚,黄蓉,45
鲁有脚,裘千仞,42
鲁有脚,杨康,38
鲁有脚,简长老,32
鲁有脚,洪七公,17
鲁有脚,彭长老,15
鲁有脚,梁长老,8
鲁有脚,黄药师,4
鲁有脚,欧阳克,2
尹志平,陆冠英,116
尹志平,程瑶迦,76
尹志平,黄药师,61
尹志平,郭靖,36
尹志平,侯通海,34
尹志平,柯镇恶,32
尹志平,黄蓉,20
尹志平,谭处端,12
尹志平,王处一,11
尹志平,杨康,8
一灯大师,黄蓉,85
一灯大师,郭靖,65
一灯大师,瑛姑,26
一灯大师,裘千仞,20
一灯大师,农夫,15
一灯大师,洪七公,8
一灯大师,渔人,7
一灯大师,樵子,6
一灯大师,天竺僧人,6
一灯大师,王处一,3
南希仁,郭靖,73
南希仁,韩宝驹,50
南希仁,韩小莹,47
南希仁,朱聪,44
南希仁,全金发,41
南希仁,柯镇恶,36
南希仁,黄蓉,35
南希仁,梅超风,28
南希仁,张阿生,23
南希仁,陈玄风,15
段天德,李萍,50
段天德,枯木,43
段天德,杨铁心,28
段天德,郭靖,25
段天德,郭啸天,21
段天德,包惜弱,14
段天德,韩宝驹,14
段天德,陆乘风,11
段天德,江南七怪,10
段天德,柯镇恶,9
江南七怪,柯镇恶,39
江南七怪,郭靖,27
江南七怪,朱聪,23
江南七怪,韩宝驹,19
江南七怪,韩小莹,18
江南七怪,彭连虎,14
江南七怪,张阿生,11
江南七怪,梅超风,11
江南七怪,完颜洪烈,10
江南七怪,段天德,10
渔人,黄蓉,97
渔人,郭靖,66
渔人,农夫,25
渔人,樵子,21
渔人,瑛姑,15
渔人,陆冠英,7
渔人,一灯大师,7
渔人,周伯通,6
渔人,黄药师,2
渔人,洪七公,2
郭啸天,杨铁心,82
郭啸天,段天德,21
郭啸天,包惜弱,18
郭啸天,曲三,7
郭啸天,李萍,7
郭啸天,郭靖,6
郭啸天,张十五,4
郭啸天,杨康,3
郭啸天,江南七怪,3
郭啸天,柯镇恶,2
灵智上人,周伯通,40
灵智上人,彭连虎,38
灵智上人,沙通天,33
灵智上人,梁子翁,29
灵智上人,郭靖,25
灵智上人,完颜洪烈,25
灵智上人,王处一,24
灵智上人,黄蓉,20
灵智上人,黄药师,20
灵智上人,侯通海,18
李萍,郭靖,75
李萍,段天德,50
李萍,杨铁心,15
李萍,拖雷,10
李萍,郭啸天,7
李萍,杨康,7
李萍,包惜弱,6
李萍,朱聪,6
李萍,韩宝驹,6
李萍,华筝,6
桑昆,铁木真,171
桑昆,王罕,61
桑昆,札木合,54
桑昆,都史,53
桑昆,郭靖,41
桑昆,完颜洪烈,26
桑昆,拖雷,16
桑昆,完颜洪熙,12
桑昆,华筝,8
桑昆,柯镇恶,4
王罕,铁木真,187
王罕,桑昆,61
王罕,札木合,48
王罕,都史,43
王罕,郭靖,26
王罕,完颜洪熙,24
王罕,完颜洪烈,21
王罕,拖雷,20
王罕,华筝,16
王罕,博尔忽,5
窝阔台,拖雷,72
窝阔台,察合台,66
窝阔台,术赤,55
窝阔台,铁木真,28
窝阔台,郭靖,25
窝阔台,都史,6
窝阔台,忽都虎,4
窝阔台,博尔术,4
窝阔台,者勒米,2
窝阔台,朱聪,2
察合台,窝阔台,66
察合台,术赤,65
察合台,郭靖,33
察合台,拖雷,23
察合台,铁木真,11
察合台,赤老温,7
察合台,博尔术,7
察合台,王罕,3
察合台,桑昆,3
察合台,华筝,2
札木合,铁木真,158
札木合,桑昆,54
札木合,王罕,48
札木合,完颜洪烈,31
札木合,郭靖,25
札木合,都史,11
札木合,完颜洪熙,10
札木合,拖雷,9
札木合,华筝,4
札木合,博尔忽,2
简长老,黄蓉,40
简长老,鲁有脚,32
简长老,杨康,31
简长老,裘千仞,27
简长老,郭靖,26
简长老,彭长老,21
简长老,梁长老,9
简长老,洪七公,6
简长老,胖丐,1
简长老,瘦丐,1
张阿生,韩小莹,57
张阿生,陈玄风,34
张阿生,韩宝驹,25
张阿生,柯镇恶,25
张阿生,全金发,25
张阿生,南希仁,23
张阿生,朱聪,22
张阿生,郭靖,21
张阿生,江南七怪,11
张阿生,梅超风,9
陈玄风,韩小莹,37
陈玄风,梅超风,35
陈玄风,张阿生,34
陈玄风,郭靖,25
陈玄风,黄药师,19
陈玄风,柯镇恶,17
陈玄风,朱聪,15
陈玄风,南希仁,15
陈玄风,韩宝驹,15
陈玄风,全金发,13
陆乘风,黄药师,38
陆乘风,梅超风,35
陆乘风,郭靖,28
陆乘风,黄蓉,22
陆乘风,陆冠英,22
陆乘风,段天德,11
陆乘风,裘千仞,9
陆乘风,朱聪,5
陆乘风,枯木,5
陆乘风,完颜洪烈,3
农夫,黄蓉,40
农夫,渔人,25
农夫,郭靖,24
农夫,瑛姑,23
农夫,一灯大师,15
农夫,樵子,15
农夫,洪七公,2
农夫,天竺僧人,1
都史,铁木真,91
都史,拖雷,79
都史,郭靖,71
都史,桑昆,53
都史,王罕,43
都史,华筝,23
都史,札木合,11
都史,完颜洪烈,8
都史,朱聪,7
都史,韩小莹,6
术赤,察合台,65
术赤,窝阔台,55
术赤,郭靖,21
术赤,拖雷,8
术赤,博尔术,5
术赤,铁木真,4
术赤,华筝,3
术赤,桑昆,3
术赤,王罕,1
术赤,鲁有脚,1
黎生,黄蓉,36
黎生,欧阳克,32
黎生,郭靖,29
黎生,洪七公,20
黎生,余兆兴,15
黎生,程瑶迦,4
黎生,杨康,4
黎生,孙不二,2
黎生,梁子翁,1
